ROOT	POS	DEFINITION	DEFINITION2	ANALYSIS	LEMMA
inááttsi	VII	appear as, look like; have the appearance	it appears as, it looks like; it has the appearance	inááttsi+VII+Ind+0Sg	inááttsiwa
soka'pii	VII	be good	it is good	soka'pii+VII+Ind+0Sg	soka'piiwa
a'po'taki	VAI	work, be operational, be in effect	s/he works, s/he is operational; s/he is in effect	a'po'taki+VAI+Ind+3Sg	á'po'takiwa
itapoo	VAI	go toward, go to a location	s/he goes toward, s/he goes to a location	itapoo+VAI+Ind+3Sg	itapoowa
okska'si	VAI	run	s/he runs	okska'si+VAI+Ind+3Sg	okska'siwa
waahkayi	VAI	go home	s/he goes home	waahkayi+VAI+Ind+3Sg	aahkayiwa
ohkoissksini	VTI	find out about	s/he finds out about s.t.	ohkoissksini+VTI+Ind+3Sg+0SgO	ohkoissksinima
oowatoo	VTI	eat	s/he eats s.t.	oowatoo+VTI+Ind+3Sg+0SgO	owatooma
ssksini	VTI	know	s/he knows s.t.	ssksini+VTI+Ind+3Sg+0SgO	ssksinima
ikákomimm	VTA	love, be fond of	s/he loves s.o., s/he is fond of s.o.	ikákomimm+VTA+Ind+3Sg+4SgO	ikákomimmiiwa
# waakomimm	VTA	love, be fond of
ino	VTA	see; recognize	s/he sees s.o.; s/he recognizes s.o.	ino+VTA+Ind+3Sg+4SgO	inoyiiwa
imitááwa	NA	dog		imitááwa+NA+Sg	imitááwa
